Column1;name;chembl_id;chembl_max_phase;composite_score;Score;Score comment;cns_target;primary_target;nasal_cyp_risk;molecular_weight;logP;PSA;H_donors;rotatable_bonds;vapor_pressure_mmhg;melting_point_c;pka_predicted;logD_pH6;logD_pH74;max_dose_mg;dose_feasible_nosa;original_applicant_normalized;earliest_patent_expiry;atc_code;mesh_heading;mechanism_of_action;target_name;physical_state;half_life;dosage_form;synonyms;indication_class
ple use and formulations. Nasal diff as low cost to sc cont pump in off Park patients?;APOMORPHINE;CHEMBL53;4;91.1;1;DA ag, generic, multiple uses and form. Use in off Park as low cost pump alt? Rapid onset subling films exists but Q o eff.;??;D(2) dopamine receptor (Dopamine D2 receptor);;?? 267.33 [C] (DrugBank: 267.3224);2.85 [C];43.70;2.0;0.0;—;195.00;10.00;2.85;2.85;0.05 [CT];?;Mdd Operations;2029-08-07;G04BE07|N04BC07;Erectile Dysfunction|Hallucinations|Brain Injuries|Parkinson Disease|Alcoholism;?? Apomorphine is a non-ergoline dopamine agonist with high … [DB];—;solid [DB];The terminal elimination half life of a 15mg su… [DB];parenteral|topical;6a.beta.-aporphine-10,11-diol|6A.BETA.-APORPHINE-10,11-DIOL|APL-130277|Apomorphine|APOMORPHINE|Apomorphinum|APOMORPHINUM|VR-040|VR040;?? Apomorphine is indicated to treat acute, intermittent tre… [DB]
11;NORETHINDRONE;CHEMBL1162;4;90.6;0;Progestin, generic OSD or IM;;Progesterone receptor (PR) (Nuclear receptor su…;??;?? 298.43 [C] (DrugBank: 298.4192);3.49 [C];37.30;1.0;0.0;0.00;202.00;10.00;3.49;3.49;5.00 [CT];?;J&J;2026-01-28;G03DC02|G03AC01;Neoplasms|Multiple Sclerosis, Chronic Progressive|Reperfusion Injury|Hepatitis C|Multiple Sclerosis, Relapsing-Remitting|Sexual Dysfunction, Physiological|Dysmenorrhea|Endometriosis|Pain|Hyperandrogenism|Menopause;?? On a molecular level, progestins like norethisterone exer… [DB] (ChEMBL: Progesterone receptor agonist);Progesterone receptor;solid [DB];The half-life of norethisterone has been variab… [DB];oral;Activella|Anovule|ANOVULE|Calluna vulgaris|CALLUNA VULGARIS|Calluna vulgaris whole|CALLUNA VULGARIS WHOLE|Camila|CAMILA|Combipatch|Errin|ERRIN|Femhrt|Gestest|GESTEST|Heather|HEATHER|Heather whole|HEATHER WHOLE|Incassia|INCASSIA|Jencycla|JENCYCLA|Menzol|MENZOL|Micronor|MICRONOR|Micronor hrt|MICRONOR HRT|Norethidrone|NORETHIDRONE|Norethindrone|NORETHINDRONE|Norethindrone component of aranelle|NORETHINDRONE COMPONENT OF ARANELLE|Norethindrone component of brevicon|NORETHINDRONE COMPONENT OF BREVICON|Norethindrone component of femcon fe|NORETHINDRONE COMPONENT OF FEMCON FE|Norethindrone component of lo minastrin fe|NORETHINDRONE COMPONENT OF LO MINASTRIN FE|Norethindrone component of minastrin 24 fe|NORETHINDRONE COMPONENT OF MINASTRIN 24 FE|Norethindrone component of norinyl|NORETHINDRONE COMPONENT OF NORINYL|Norethindrone component of norquest fe|NORETHINDRONE COMPONENT OF NORQUEST FE|Norethindrone component of taytulla|NORETHINDRONE COMPONENT OF TAYTULLA|Norethindrone component of vyfemla|NORETHINDRONE COMPONENT OF VYFEMLA|Norethisteron|NORETHISTERON|Norethisterone|NORETHISTERONE|Norethisteronum|NORETHISTERONUM|Noretisterona|NORETISTERONA|Noriday|NORIDAY|Norlutin|NORLUTIN|Nor-qd|NOR-QD|NSC-9564|Primolut n|PRIMOLUT N|SC-4640|Triella|TRIELLA|Utovlan|UTOVLAN;?? Norethisterone is indicated as an oral contraceptive when… [DB]
12;CHLOROCRESOL;CHEMBL1230222;2;90.5;0;Disinfectant;;—;;?? 142.59 [C] (DrugBank: 142.58);2.35 [C];20.23;1.0;0.0;0.05;66.11;10.00;2.35;2.35;—;?;—;—;—;—;—;—;—;—;—;Chlorocresol|CHLOROCRESOL|Chlorocresolum|CHLOROCRESOLUM|Clorocresol|CLOROCRESOL|NSC-4166|P-chloro-m-cresol|P-CHLORO-M-CRESOL;—
13;ACRIDINE;CHEMBL39677;2;90.4;0;Dye;;—;;?? 179.22 [C];3.39 [C];12.89;0.0;0.0;1.00;107.22;4.50;3.38;3.39;—;?;—;—;—;Central Nervous System Neoplasms|Lung Neoplasms;?? DNA disrupting agent;DNA;—;—;—;Acridine|ACRIDINE|NSC-3408;—
14;MONOBENZONE;CHEMBL1388;4;90.3;0;Topical depigmentation use;;Tyrosinase (EC 1.14.18.1) (LB24-AB) (Monophenol…;;?? 200.24 [C] (DrugBank: 200.2332);2.97 [C];29.46;1.0;3.0;0.00;122.50;10.00;2.97;2.97;—;?;Valeant International;—;D11AX13;—;?? Monobenzone is a depigmenting agent whose mechanism of ac… [DB] (ChEMBL: Tyrosinase inhibitor);Tyrosinase;solid [DB];—;topical;Benoquin|BENOQUIN|Monobenzona|MONOBENZONA|Monobenzone|MONOBENZONE|NSC-2132|P-(benzyloxy)phenol|P-(BENZYLOXY)PHENOL;?? Used topically to treat the loss of skin color (vitiligo). [DB]
15;MECAMYLAMINE;CHEMBL267936;4;89.9;1;nAChR antag. Generic. Hypertension - no diff. Maybe for addiction??;??;Neuronal acetylcholine receptor subunit alpha-2…;;?? 167.3 [C] (DrugBank: 167.2911);2.42 [C];12.03;1.0;1.0;—;25.00;9.50;-1.08;0.32;20.00 [CT];?;Lgm Solutions;—;C02BB01;Macular Degeneration|Hypertension|Tobacco Use Disorder|Autistic Disorder|Depressive Disorder, Major|Cognitive Dysfunction|Alcoholism|Aging|Child Development Disorders, Pervasive;?? Mecamylamine is a ganglionic blocker which prevents stimu… [DB];—;liquid [DB];—;oral;Mecamilamina|MECAMILAMINA|Mecamylamine|MECAMYLAMINE;?? For the treatment of moderately severe to severe essentia… [DB]
16;TROPICAMIDE;CHEMBL1200604;4;89.4;0;Antimuscarinic. Eye exam use;??;Muscarinic acetylcholine receptor M3;;?? 284.36 [C] (DrugBank: 284.3529);2.21 [C];53.43;1.0;6.0;—;96.50;4.50;2.20;2.21;3.00 [CT];?;Miza;2031-07-15;S01FA06|S01FA56;Eye Diseases|Sialorrhea|Mydriasis|Presbyopia|Parkinson Disease|Ocular Hypertension;?? Muscarinic acetylcholine receptors are involved in numero… [DB] (ChEMBL: Muscarinic acetylcholine receptor M3 antagonist);Muscarinic acetylcholine receptor M3;solid [DB];Tropicamide has a plasma half-life of 30?minute… [DB];topical;Bistropamide|BISTROPAMIDE|Mydriacyl|MYDRIACYL|Mydriafair|MYDRIAFAIR|Nods|NODS|NSC-757372|RO-1-7683|Tropicacyl|TROPICACYL|Tropicamida|TROPICAMIDA|Tropicamide|TROPICAMIDE|Tropicamide component of mydcombi|TROPICAMIDE COMPONENT OF MYDCOMBI|Tropicamide component of paremyd|TROPICAMIDE COMPONENT OF PAREMYD|Tropicamidum|TROPICAMIDUM|Visumidriatic|VISUMIDRIATIC;?? Tropicamide is indicated to induce mydriasis (dilation of… [DB]
17;GALANTAMINE;CHEMBL659;4;88.6;1;nAChR antag. Alz. Titration due to GI.  Pending CV% maybe diff??;??;Cholinesterase (EC 3.1.1.8) (Acylcholine acylhy…;??;?? 287.36 [C] (DrugBank: 287.3535);1.85 [C];41.93;1.0;1.0;—;126.00;10.00;1.85;1.85;24.00 [CT];?;J&J;—;N06DA04;Lecithin Cholesterol Acyltransferase Deficiency|Obesity|Tobacco Use Disorder|Subarachnoid Hemorrhage|Cocaine-Related Disorders|HIV Infections|Autistic Disorder|Dementia, Vascular|Anxiety|Hypotension, Orthostatic|Psychotic Disorders|Lewy Body Disease|Dementia|Depressive Disorder|Alzheimer Disease|Schizophrenia|Memory;?? Alzheimer’s disease is characterized by progressive, irre… [DB];—;solid [DB];Galantamine has a terminal half-life of about 7… [DB];oral;Acumor xl|ACUMOR XL|Consion xl|CONSION XL|Elmino xl|ELMINO XL|Galantamina|GALANTAMINA|(-)-galantamine|(-)-GALANTAMINE|Galantamine|GALANTAMINE|(-)-galanthamine|(-)-GALANTHAMINE|Galanthamine|GALANTHAMINE|Galsya xl|GALSYA XL|Galzemic xl|GALZEMIC XL|Gatalin xl|GATALIN XL|Gazylan xl|GAZYLAN XL|Lotprosin xl|LOTPROSIN XL|Luventa xl|LUVENTA XL|NSC-100058|Reminyl|REMINYL|Reminyl xl|REMINYL XL|Zeebral xl|ZEEBRAL XL;?? Galantamine is indicated for the treatment of mild to mod… [DB]
18;MILRINONE;CHEMBL189;4;88.6;0;PDE3i, for PAH but as slow iv due to arrhytmia risk. Neg outcome w po.;??;cGMP-inhibited 3',5'-cyclic phosphodiesterase 3…;;?? 211.22 [C] (DrugBank: 211.2194);1.62 [C];69.54;1.0;1.0;—;300.00;4.50;1.61;1.62;8.00 [CT];?;Sanofi;—;C01CE02;Cardiovascular Diseases|Heart Failure|Hernias, Diaphragmatic, Congenital|Vasospasm, Intracranial|Heart Defects, Congenital|Subarachnoid Hemorrhage|Hypertension, Pulmonary|Reperfusion Injury|Shock, Septic|Muscle Cramp;?? Heart failure is a condition characterized by the heart's… [DB];—;solid [DB];Milrinone administered intravenously to congest… [DB];parenteral;Milrila|MILRILA|Milrinona|MILRINONA|Milrinone|MILRINONE|NSC-760072|WIN 47,203-2|WIN-47203-2;?? Milrinone is indicated for the short-term (48 hours or le… [DB]
19;PHENOTHIAZINE;CHEMBL828;2;88.5;0;Insecticide, antihelminithic. Precursor use now.;;—;;?? 199.28 [C] (DrugBank: 199.27);3.89 [C];12.03;1.0;0.0;0.00;185.50;9.50;0.39;1.79;—;?;—;—;—;—;—;—;—;—;—;10h-phenothiazine|10H-PHENOTHIAZINE|Contaverm|CONTAVERM|Danikoropa|DANIKOROPA|ENT 38|ENT-38|Fenotiazina|FENOTIAZINA|Fenoverm|FENOVERM|NSC-2037|Phenothiazine|PHENOTHIAZINE;—
20;OXYBENZONE;CHEMBL1625;4;88.4;0;UV light absorber;;—;;?? 228.25 [C] (DrugBank: 228.2433);2.63 [C];46.53;1.0;3.0;0.00;66.11;10.00;2.63;2.63;—;?;Bayer;—;—;Melanosis;?? Oxybenzone absorbs UV-A ultraviolet rays, preventing them… [DB] (ChEMBL: Sunscreen);—;solid [DB];—;topical;Advastab 45|ADVASTAB 45|Benzophenone-3|BENZOPHENONE-3|NSC-7778|Ongrostab hmb|ONGROSTAB HMB|Oxibenzona|OXIBENZONA|Oxybenzone|OXYBENZONE|Oxybenzone component of shade uvaguard|OXYBENZONE COMPONENT OF SHADE UVAGUARD|Tinosorb b 3|TINOSORB B 3|Uvinul 40|UVINUL 40|Viosorb 110|VIOSORB 110;?? Used as an ingredient in sunscreen and other cosmetics. [DB]
21;PRASTERONE;CHEMBL90593;4;88.3;0;DHEA. OTC. Generic.High DDD, no diff use;??;17-beta-hydroxysteroid dehydrogenase type 1 (17…;??;?? 288.43 [C] (DrugBank: 288.4244);3.88 [C];37.30;1.0;0.0;—;140.00;10.00;3.88;3.88;6.50 [CT];?;Millicent;2028-08-07;G03XX01|A14AA07;Primary Ovarian Insufficiency|Atrophic Vaginitis|Infertility|Substance Withdrawal Syndrome|Crohn Disease|HIV Infections|Malaria|Sarcoma, Synovial|Multiple Myeloma|Erectile Dysfunction|Sexual Dysfunction, Physiological|Skin Aging|Arthritis, Rheumatoid|Pain|Stress Disorders, Post-Traumatic|Dysmenorrhea|Hot Flashes|Depressive Disorder|Breast Neoplasms|Adrenal Insufficiency|Genital Neoplasms, Female|Diabetes Mellitus, Type 1|Osteoarthritis|Addison Disease|Myotonic Dystrophy|Anorexia Nervosa|Lupus Erythematosus, Systemic|Aging|Menopause|Low Back Pain;?? DHEA can be understood as a prohormone for the sex steroi… [DB] (ChEMBL: Unknown);—;solid [DB];12 hours [DB];topical;Androst-5-en-3.alpha.-ol-17-one|ANDROST-5-EN-3.ALPHA.-OL-17-ONE|Biolaif|BIOLAIF|Dehydroandrosterone|DEHYDROANDROSTERONE|Dehydroepiandrosterone|DEHYDROEPIANDROSTERONE|Dehydroisoandrosterone|DEHYDROISOANDROSTERONE|Dhea|DHEA|EM-760|Enzymatic therapy|ENZYMATIC THERAPY|Intrarosa|Isoandrostenolone|ISOANDROSTENOLONE|Natrol dhea|NATROL DHEA|NSC-9896|Prasterona|PRASTERONA|Prasterone|PRASTERONE|Prasterone, (3.alpha.)-|PRASTERONE, (3.ALPHA.)-|Vaginorm|VAGINORM;?? DHEA is taken as a supplement for a variety of unsubstant… [DB]
22;TRAMADOL;CHEMBL1237044;4;88.3;0;Opioid. SNRI. No viable diff for nasal PKPD;??;—;??;?? 263.38 [C] (DrugBank: 263.381);2.63 [C];32.70;1.0;4.0;—;178.00;10.00;2.63;2.63;100.00 [CT];?;J&J;2030-04-19;N02AX02;Wounds and Injuries|Pain|Hip Fractures|Opioid-Related Disorders|Fibromyalgia|Neuralgia|Substance Withdrawal Syndrome|Diabetic Neuropathies|Rotator Cuff Injuries|Chronic Pain|Osteoarthritis, Knee|Low Back Pain|Depressive Disorder, Major|Breast Neoplasms|Carcinoma, Squamous Cell|Abdominal Pain|Osteoarthritis|Pancreatitis|Uveal Melanoma|Neoplasms;?? Tramadol is a centrally acting ?-opioid receptor agonist … [DB];—;solid [DB];Tramadol reported a half-life of 5-6 hours whil… [DB];oral;Amanda|AMANDA|CG-315E|E-265|E265|ETS-6103|ETS6103|Tramadol|TRAMADOL|U-26255A|Ultracet;?? Tramadol is approved for the management of moderate to se… [DB]
23;RILUZOLE;CHEMBL744;4;88.1;0;NaCi. For ALS but low eff. Buccal form exists, no diff nasal PKPD. GAD ISS w sublingual ongoing.;??;Cystine/glutamate transporter (Amino acid trans…;??;?? 234.2 [C] (DrugBank: 234.198);2.78 [C];48.14;1.0;1.0;—;119.00;9.50;-0.72;0.68;100.00 [CT];?;AstraZeneca;2029-03-12;N07XX02;Spinocerebellar Ataxias|Stress Disorders, Post-Traumatic|Child Development Disorders, Pervasive|Melanoma|Obsessive-Compulsive Disorder|Multiple System Atrophy|Peripheral Nervous System Diseases|Multiple Sclerosis, Chronic Progressive|Muscular Atrophy, Spinal|Spinal Cord Diseases|Cerebellar Ataxia|Depressive Disorder, Major|Breast Neoplasms|Depressive Disorder|Atrial Fibrillation|Alzheimer Disease|Amyotrophic Lateral Sclerosis|Multiple Sclerosis|Huntington Disease|Supranuclear Palsy, Progressive|Bipolar Disorder|Neoplasms|Schizophrenia|Spinal Cord Injuries;?? The mode of action of riluzole is unknown. Its pharmacolo… [DB] (ChEMBL: Sodium channel alpha subunit blocker);Sodium channel alpha subunit;solid [DB];The mean elimination half-life of riluzole is 1… [DB];oral;BHV-0223|Exservan|EXSERVAN|NSC-753433|NSC-759823|Rilutek|RILUTEK|Riluzol|RILUZOL|Riluzole|RILUZOLE|Riluzole zentiva|RILUZOLE ZENTIVA|RP 54274|RP-54274|Teglutik|TEGLUTIK|Tiglutik|TIGLUTIK|Tiglutik kit|TIGLUTIK KIT;?? For the treatment of amyotrophic lateral sclerosis (ALS, … [DB]
24;TRICHLOROACETIC ACID;CHEMBL14053;3;88.0;0;Cosmetic treatment use;;—;;?? 163.39 [C];1.44 [C];37.30;1.0;0.0;1.00;57.22;4.20;-0.37;-1.76;—;?;—;—;—;Acne Vulgaris|Cicatrix|Condylomata Acuminata;—;—;—;—;—;Acetic acid, trichloro-|ACETIC ACID, TRICHLORO-|NSC-215204|Tcaa|TCAA|Trichloroacetate|TRICHLOROACETATE|Trichloroacetic acid|TRICHLOROACETIC ACID|Trichloroethanoic acid;—
