name,chembl_id,chembl_max_phase,indication_class,molecular_weight,logP,PSA,H_donors,H_acceptors,rotatable_bonds,SMILES,smiles_source,source,sources,ingredient,earliest_patent_expiry,earliest_exclusivity_date,ema_approved,pmda_approved,nosa_candidate,pubchem_cid,vapor_pressure_mmhg,vapor_pressure_raw,melting_point_c,melting_point_raw,boiling_point_c,boiling_point_raw
MIANSERIN,CHEMBL6437,4.0,,264.37,3.08,6.48,0.0,2.0,0.0,CN1CCN2c3ccccc3Cc3ccccc3C2C1,chembl,chembl,chembl,,,,False,False,False,4184.0,,,,,,
IMIPRAMINE,CHEMBL11,4.0,,280.42,3.88,6.48,0.0,2.0,4.0,CN(C)CCCN1c2ccccc2CCc2ccccc21,chembl,chembl,chembl,IMIPRAMINE HYDROCHLORIDE,,,False,False,False,3696.0,,,174.0,174-175,160.0,160 °C @ 0.1 MM HG
INDAPAMIDE,CHEMBL406,4.0,,365.84,2.08,92.5,2.0,4.0,3.0,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,chembl,chembl,chembl,INDAPAMIDE,2038-01-23,2028-06-05,False,False,False,3702.0,,,160.0,160-162,,
FLUMAZENIL,CHEMBL407,4.0,,303.29,1.77,64.43,0.0,5.0,2.0,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,chembl,chembl,chembl,FLUMAZENIL,,,False,False,False,3373.0,,,201.0,201-203 °C,,
TROGLITAZONE,CHEMBL408,4.0,,441.55,4.37,84.86,2.0,6.0,5.0,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,chembl,chembl,chembl,TROGLITAZONE,,,False,False,False,5591.0,,,184.0,184-186 °C,,
BICALUTAMIDE,CHEMBL409,4.0,,430.38,2.88,107.26,2.0,5.0,5.0,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,chembl,chembl,chembl,BICALUTAMIDE,,,False,False,False,2375.0,,,191.0,191-193 °C,,
DIAZEPAM,CHEMBL12,4.0,,284.75,3.15,32.67,0.0,2.0,1.0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,chembl,chembl,chembl,DIAZEPAM,2029-03-27,2027-01-10,False,False,False,3016.0,,,125.0,"257 to 259 °F (NTP, 1992)",,
METOPROLOL,CHEMBL13,4.0,,267.37,1.61,50.72,2.0,4.0,9.0,COCCc1ccc(OCC(O)CNC(C)C)cc1,chembl,chembl,chembl,METOPROLOL SUCCINATE,2035-07-09,,False,False,False,4171.0,,,,,398.0,398ºC (estimate)
DIETHYLSTILBESTROL,CHEMBL411,4.0,,268.36,4.83,40.46,2.0,2.0,4.0,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,chembl,chembl,chembl,DIETHYLSTILBESTROL,,,False,False,False,448537.0,,,168.88888888888889,"336 to 342 °F (NTP, 1992)",,
MECAMYLAMINE,CHEMBL267936,4.0,,167.3,2.42,12.03,1.0,1.0,1.0,CNC1(C)C2CCC(C2)C1(C)C,chembl,chembl,chembl,MECAMYLAMINE HYDROCHLORIDE,,,False,False,False,4032.0,,,25.0,< 25 °C,,
CARBACHOL,CHEMBL14,4.0,,182.65,-0.21,52.32,1.0,2.0,3.0,C[N+](C)(C)CCOC(N)=O.[Cl-],chembl,chembl,chembl,CARBACHOL,2030-05-24,2029-01-28,False,False,False,5831.0,,,200.0,"392 to 401 °F (EPA, 1998)",,
PHENYTOIN,CHEMBL16,4.0,,252.27,1.77,58.2,2.0,2.0,2.0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,chembl,chembl,chembl,PHENYTOIN SODIUM,,,False,False,False,1775.0,,,295.0,"563 to 568 °F (NTP, 1992)",,
SIROLIMUS,CHEMBL413,4.0,,914.19,6.18,195.43,3.0,13.0,6.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,chembl,chembl,chembl,SIROLIMUS,2029-02-14,2028-11-22,True,True,False,5284616.0,,,183.0,183-185 °C,183.0,183-185
TACROLIMUS ANHYDROUS,CHEMBL269732,4.0,,804.03,4.64,178.36,3.0,12.0,7.0,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,chembl,chembl,chembl,,,,False,False,False,445643.0,,,,,,
CLOMIPRAMINE,CHEMBL415,4.0,,314.86,4.53,6.48,0.0,2.0,4.0,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,chembl,chembl,chembl,CLOMIPRAMINE HYDROCHLORIDE,,,False,False,False,2801.0,,,191.5,191.5-192,160.0,160-170 °C at 3.00E-01 mm Hg
METHOXSALEN,CHEMBL416,4.0,,216.19,2.55,52.58,0.0,4.0,1.0,COc1c2occc2cc2ccc(=O)oc12,chembl,chembl,chembl,METHOXSALEN,,,False,False,False,4114.0,,,147.77777777777777,"298 °F (NTP, 1992)",,
DICHLORPHENAMIDE,CHEMBL17,4.0,,305.16,0.29,120.32,2.0,4.0,2.0,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,chembl,chembl,chembl,DICHLORPHENAMIDE,,,False,False,False,3038.0,,,239.0,239-241 °C,,
ETHOXZOLAMIDE,CHEMBL18,4.0,,258.32,1.34,82.28,1.0,5.0,3.0,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,chembl,chembl,chembl,ETHOXZOLAMIDE,,,False,False,False,3295.0,,,188.0,188-190.5,,
EPIRUBICIN,CHEMBL417,4.0,,543.53,0.0,206.07,6.0,12.0,5.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,chembl,chembl,chembl,EPIRUBICIN HYDROCHLORIDE,,,False,False,False,41867.0,,,344.53,344.53 °C,,
METHAZOLAMIDE,CHEMBL19,4.0,,236.28,-1.42,107.41,1.0,6.0,1.0,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,chembl,chembl,chembl,METHAZOLAMIDE,,,False,False,False,4100.0,,,,,,
ACETAZOLAMIDE,CHEMBL20,4.0,,222.25,-0.86,115.04,2.0,6.0,2.0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,chembl,chembl,chembl,ACETAZOLAMIDE,,,False,False,False,1986.0,,,257.77777777777777,"496 to 498 °F (effervescence) (NTP, 1992)",,
MAFENIDE,CHEMBL419,4.0,,186.24,-0.21,86.18,2.0,3.0,2.0,NCc1ccc(S(N)(=O)=O)cc1,chembl,chembl,chembl,MAFENIDE ACETATE,,,False,False,False,3998.0,,,,,,
SULFANILAMIDE,CHEMBL21,4.0,,172.21,-0.08,86.18,2.0,3.0,1.0,Nc1ccc(S(N)(=O)=O)cc1,chembl,chembl,chembl,SULFANILAMIDE,,,False,False,False,5333.0,7.3e-06,0.0000073 [mmHg],165.0,"329 to 331 °F (NTP, 1992)",,
GUANABENZ,CHEMBL420,4.0,,231.09,1.81,74.26,3.0,2.0,2.0,N=C(N)N/N=C/c1c(Cl)cccc1Cl,chembl,chembl,chembl,GUANABENZ ACETATE,,,False,False,False,5702063.0,,,225.0,225-227,,
TRIMETHOPRIM,CHEMBL22,4.0,,290.32,1.26,105.51,2.0,7.0,5.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,chembl,chembl,chembl,TRIMETHOPRIM,,,False,False,False,5578.0,,,198.88888888888889,"390 to 397 °F (NTP, 1992)",,
VERAPAMIL,CHEMBL6966,4.0,,454.61,5.09,63.95,0.0,6.0,13.0,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,chembl,chembl,chembl,VERAPAMIL HYDROCHLORIDE,,,False,False,False,2520.0,,,25.0,< 25 °C,245.0,BP: 245 °C at 0.01 mm Hg
SULFASALAZINE,CHEMBL421,4.0,,398.4,3.7,141.31,3.0,7.0,6.0,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,chembl,chembl,chembl,SULFASALAZINE,,,False,False,False,5339.0,,,,,,
COUMARIN,CHEMBL6466,4.0,,146.14,1.79,30.21,0.0,2.0,0.0,O=c1ccc2ccccc2o1,chembl,chembl,chembl,,,,False,False,False,323.0,0.01,"0.01 mmHg at 117 °F ; 1 mmHg at 223 °F (NTP, 1992)",67.77777777777777,"154 to 158 °F (NTP, 1992)",297.77777777777777,"568 °F at 760 mmHg (NTP, 1992)"
DILTIAZEM,CHEMBL23,4.0,,414.53,3.37,59.08,0.0,6.0,6.0,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,chembl,chembl,chembl,DILTIAZEM HYDROCHLORIDE,,,False,False,False,39186.0,,,187.0,187-188,,Decomposes
ATENOLOL,CHEMBL24,4.0,,266.34,0.45,84.58,3.0,4.0,8.0,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,chembl,chembl,chembl,ATENOLOL,,,False,False,False,2249.0,,,158.0,158-160,,
ASPIRIN,CHEMBL25,4.0,,180.16,1.31,63.6,1.0,3.0,2.0,CC(=O)Oc1ccccc1C(=O)O,chembl,chembl,chembl,ASPIRIN,2032-09-29,,False,False,False,2244.0,0.0,"0 mmHg (approx) (NIOSH, 2024)",135.0,"275 °F (NTP, 1992)",140.0,"284 °F at 760 mmHg (decomposes) (NTP, 1992)"
TRIFLUOPERAZINE,CHEMBL422,4.0,,407.51,4.95,9.72,0.0,4.0,4.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,chembl,chembl,chembl,TRIFLUOPERAZINE HYDROCHLORIDE,,,False,False,False,5566.0,,,242.0,"Cream-colored, fine powder from absolute alcohol; MP: 242-243 °C; pH of 5% aq soln= 2.2, Hygroscopic /Dihydrochloride/",202.0,202-210 °C @ 0.6 mm Hg
SULPIRIDE,CHEMBL26,4.0,,341.43,0.56,101.73,2.0,5.0,6.0,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,chembl,chembl,chembl,,,,False,False,False,5355.0,,,178.0,178 °C,,
BETAXOLOL,CHEMBL423,4.0,,307.43,2.39,50.72,2.0,4.0,11.0,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,chembl,chembl,chembl,BETAXOLOL HYDROCHLORIDE,,,False,False,False,2369.0,,,70.0,70-72 °C,,
SALICYLIC ACID,CHEMBL424,4.0,,138.12,1.09,57.53,2.0,2.0,1.0,O=C(O)c1ccccc1O,chembl,chembl,chembl,,,,False,False,False,338.0,8.2e-05,0.000082 [mmHg],157.22222222222223,"315 °F (USCG, 1999)",211.0,211 °C at 20 torr
OLSALAZINE,CHEMBL425,4.0,,302.24,2.91,139.78,4.0,6.0,4.0,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,chembl,chembl,chembl,OLSALAZINE SODIUM,,,False,False,False,22419.0,,,,,,
PROPRANOLOL,CHEMBL27,4.0,,259.35,2.58,41.49,2.0,3.0,6.0,CC(C)NCC(O)COc1cccc2ccccc12,chembl,chembl,chembl,PROPRANOLOL HYDROCHLORIDE,2028-10-16,,False,False,True,4946.0,,,96.0,96 °C,,
PRACTOLOL,CHEMBL6995,4.0,,266.34,1.38,70.59,3.0,4.0,7.0,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,chembl,chembl,chembl,,,,False,False,False,4883.0,,,134.0,134-136 °C,,
MECHLORETHAMINE,CHEMBL427,4.0,,156.06,1.4,3.24,0.0,1.0,4.0,CN(CCCl)CCCl,chembl,chembl,chembl,MECHLORETHAMINE HYDROCHLORIDE,2026-03-07,,False,False,False,4033.0,0.42,0.42 [mmHg],-60.0,"-76 °F (EPA, 1998)",87.22222222222223,"189 °F at 18 mmHg (EPA, 1998)"
PENICILLIN G,CHEMBL29,4.0,,334.4,0.86,86.71,2.0,4.0,4.0,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,chembl,chembl,chembl,PENICILLIN G POTASSIUM,,,False,False,False,5904.0,,,214.0,214-217 °C,,
TROVAFLOXACIN,CHEMBL428,4.0,,416.36,1.89,101.45,2.0,6.0,3.0,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,chembl,chembl,chembl,TROVAFLOXACIN MESYLATE,,,False,False,False,62959.0,,,,,,
CIMETIDINE,CHEMBL30,4.0,,252.35,0.6,88.89,3.0,4.0,5.0,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,chembl,chembl,chembl,CIMETIDINE HYDROCHLORIDE,,,False,False,False,2756.0,,,140.0,"284 to 290 °F (NTP, 1992)",,
GATIFLOXACIN,CHEMBL31,4.0,,375.4,1.98,83.8,2.0,6.0,4.0,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,chembl,chembl,chembl,GATIFLOXACIN,,,False,False,False,5379.0,,,182.0,182-185 °C,,
LABETALOL,CHEMBL429,4.0,,328.41,2.14,95.58,4.0,4.0,8.0,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,chembl,chembl,chembl,LABETALOL HYDROCHLORIDE,,,False,False,False,3869.0,,,195.0,195 - 196 °C,,
MOXIFLOXACIN,CHEMBL32,4.0,,401.44,2.37,83.8,2.0,6.0,4.0,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,chembl,chembl,chembl,MOXIFLOXACIN HYDROCHLORIDE,2029-05-29,,False,False,False,152946.0,,,238.0,238-242 °C,,
LEVOFLOXACIN ANHYDROUS,CHEMBL33,4.0,,361.37,1.54,75.01,1.0,6.0,2.0,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,chembl,chembl,chembl,,,,False,False,False,149096.0,,,225.0,225-227C,,
GEMIFLOXACIN,CHEMBL430,4.0,,389.39,0.97,123.04,2.0,8.0,5.0,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,chembl,chembl,chembl,GEMIFLOXACIN MESYLATE,,,False,False,False,9571107.0,,,235.0,235-237 °C,,
SPIRAPRIL,CHEMBL431,4.0,,466.63,2.39,95.94,2.0,7.0,9.0,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,chembl,chembl,chembl,SPIRAPRIL HYDROCHLORIDE,,,False,False,False,5311447.0,,,,,,
VALPROATE SODIUM,CHEMBL433,4.0,,166.2,2.29,37.3,1.0,1.0,5.0,CCCC(CCC)C(=O)[O-].[Na+],chembl,chembl,chembl,VALPROATE SODIUM,,,False,False,False,16760703.0,,,,,,
ISOPROTERENOL,CHEMBL434,4.0,,211.26,1.13,72.72,4.0,4.0,4.0,CC(C)NCC(O)c1ccc(O)c(O)c1,chembl,chembl,chembl,ISOPROTERENOL HYDROCHLORIDE,,,False,False,False,3779.0,,,170.5,170.5 °C,,
HYDROCHLOROTHIAZIDE,CHEMBL435,4.0,,297.75,-0.35,118.36,3.0,5.0,1.0,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,chembl,chembl,chembl,HYDROCHLOROTHIAZIDE,2028-07-13,,False,False,False,3639.0,,,272.77777777777777,"523 to 527 °F (NTP, 1992)",,
FUROSEMIDE,CHEMBL35,4.0,,330.75,1.89,122.63,3.0,5.0,5.0,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,chembl,chembl,chembl,FUROSEMIDE,2034-04-03,,False,False,False,3440.0,,,206.11111111111111,"403 °F (decomposes) (NTP, 1992)",,
PYRIMETHAMINE,CHEMBL36,4.0,,248.72,2.52,77.82,2.0,4.0,2.0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,chembl,chembl,chembl,PYRIMETHAMINE,,,False,False,False,4993.0,,,232.77777777777777,"451 to 453 °F (capillary) (NTP, 1992)",,
TOLRESTAT,CHEMBL436,4.0,,357.35,3.56,49.77,1.0,3.0,4.0,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,chembl,chembl,chembl,,,,False,False,False,53359.0,,,,,,
SULFATHIAZOLE,CHEMBL437,4.0,,255.32,1.53,85.08,2.0,5.0,3.0,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,chembl,chembl,chembl,,,,False,False,False,5340.0,,,202.5,"396.5 °F (Form I); 347 °F (Form II) (NTP, 1992)",,
SULFAMERAZINE,CHEMBL438,4.0,,264.31,1.17,97.97,2.0,5.0,3.0,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,chembl,chembl,chembl,SULFAMERAZINE,,,False,False,False,5325.0,,,236.0,236 °C,,
SULFADIAZINE,CHEMBL439,4.0,,250.28,0.86,97.97,2.0,5.0,3.0,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,chembl,chembl,chembl,SULFADIAZINE SODIUM,,,False,False,False,5215.0,,,,,,
THIAMYLAL,CHEMBL440,4.0,,254.35,1.52,58.2,2.0,3.0,5.0,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,chembl,chembl,chembl,THIAMYLAL SODIUM,,,False,False,False,3032285.0,,,132.0,132-133 °C,,
THIOPENTAL,CHEMBL441,4.0,,242.34,1.35,58.2,2.0,3.0,4.0,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,chembl,chembl,chembl,THIOPENTAL SODIUM,,,False,False,False,3000715.0,,,,,,
CYCLOBARBITAL,CHEMBL268164,4.0,,236.27,1.25,75.27,2.0,3.0,2.0,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,,,,False,False,False,5838.0,,,,,,
ERGOTAMINE,CHEMBL442,4.0,,581.67,1.99,118.21,3.0,6.0,4.0,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,chembl,chembl,chembl,ERGOTAMINE TARTRATE,,,False,False,False,8223.0,,,213.0,"213 °C, decomposes",,
TRETINOIN,CHEMBL38,4.0,,300.44,5.6,37.3,1.0,1.0,5.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,chembl,chembl,chembl,TRETINOIN,2028-02-03,,False,False,False,444795.0,,,178.88888888888889,"354 to 360 °F (NTP, 1992)",,
METHOHEXITAL,CHEMBL7413,4.0,,262.31,1.31,66.48,1.0,3.0,3.0,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,chembl,chembl,chembl,METHOHEXITAL SODIUM,,,False,False,False,9034.0,,,,,,
PHENOBARBITAL,CHEMBL40,4.0,,232.24,0.7,75.27,2.0,3.0,2.0,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,PHENOBARBITAL SODIUM,2042-04-07,2029-11-17,False,False,False,4763.0,,,173.88888888888889,"345 to 352 °F (NTP, 1992)",,
FLUOXETINE,CHEMBL41,4.0,,309.33,4.44,21.26,1.0,2.0,6.0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,chembl,chembl,chembl,FLUOXETINE HYDROCHLORIDE,,,False,False,False,3386.0,,,179.0,179 - 182 °C,395.1,395.1°C at 760 mmHg
SULFAMETHOXAZOLE,CHEMBL443,4.0,,253.28,1.37,98.22,2.0,5.0,3.0,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,chembl,chembl,chembl,SULFAMETHOXAZOLE,,,False,False,False,5329.0,,,167.22222222222223,"333 °F (NTP, 1992)",,
BARBITAL,CHEMBL444,4.0,,184.19,0.16,75.27,2.0,3.0,2.0,CCC1(CC)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,,,,False,False,False,2294.0,,,,,,
CLOZAPINE,CHEMBL42,4.0,,326.83,3.72,30.87,1.0,4.0,0.0,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,chembl,chembl,chembl,CLOZAPINE,2028-05-01,,False,False,False,135398737.0,,,183.0,183-184 °C,,
NORTRIPTYLINE,CHEMBL445,4.0,,263.38,3.83,12.03,1.0,1.0,3.0,CNCCC=C1c2ccccc2CCc2ccccc21,chembl,chembl,chembl,NORTRIPTYLINE HYDROCHLORIDE,,,False,False,False,4543.0,,,213.0,213 - 215 °C,,
SULFAMETHAZINE,CHEMBL446,4.0,,278.34,1.48,97.97,2.0,5.0,3.0,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,chembl,chembl,chembl,,,,False,False,False,5327.0,,,197.22222222222223,"387 to 392 °F (NTP, 1992)",,
SECOBARBITAL,CHEMBL447,4.0,,238.29,1.35,75.27,2.0,3.0,5.0,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,SECOBARBITAL SODIUM,,,False,False,False,5193.0,,,100.0,100 °C,,
PENTOBARBITAL,CHEMBL448,4.0,,226.28,1.18,75.27,2.0,3.0,4.0,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,PENTOBARBITAL SODIUM,,,False,False,False,4737.0,,,130.0,130 °C,,
QUINACRINE,CHEMBL7568,4.0,,399.97,5.97,37.39,1.0,4.0,9.0,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,chembl,chembl,chembl,,,,False,False,False,237.0,,,248.0,248-250 °C,,
AMOBARBITAL,CHEMBL267894,4.0,,226.28,1.18,75.27,2.0,3.0,4.0,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,,,,False,False,False,2164.0,,,156.11111111111111,"313 to 316 °F (NTP, 1992)",,
HEXOBARBITAL,CHEMBL7728,4.0,,236.27,1.2,66.48,1.0,3.0,1.0,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,chembl,chembl,chembl,,,,False,False,False,3608.0,,,67.0,67.00 °C. @ 760.00 mm Hg,,
BUTABARBITAL,CHEMBL449,4.0,,212.25,0.79,75.27,2.0,3.0,3.0,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,BUTABARBITAL SODIUM,,,False,False,False,2479.0,,,165.0,165-168 °C,,
APROBARBITAL,CHEMBL7863,4.0,,210.23,0.57,75.27,2.0,3.0,3.0,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,,,,False,False,False,6464.0,,,140.0,140-141.5 °C,,
METHARBITAL,CHEMBL450,4.0,,198.22,0.5,66.48,1.0,3.0,2.0,CCC1(CC)C(=O)NC(=O)N(C)C1=O,chembl,chembl,chembl,METHARBITAL,,,False,False,False,4099.0,,,150.5,150.5 °C,,
CHLORDIAZEPOXIDE,CHEMBL451,4.0,,299.76,2.95,50.46,1.0,3.0,1.0,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,chembl,chembl,chembl,CHLORDIAZEPOXIDE,,,False,False,False,2712.0,,,,,,
